id,name,description,price,originalPrice,category,stock,status,rating,image_group,image_url,image_alt,is_primary,variant_name,variant_type,variant_value,variant_description,variant_stock,variant_price
p1,Premium Wireless Headphones,High-quality wireless headphones with noise cancellation,299.99,399.99,Electronics,50,ACTIVE,4.5,product,/images/Verwandter Heißer Verkauf dining table centerpiece….jpeg,Main product image,true,,,,,,
p1,Premium Wireless Headphones,High-quality wireless headphones with noise cancellation,299.99,399.99,Electronics,50,ACTIVE,4.5,product,/images/Com três câmeras principais para capturar imagens….jpeg,Side view,false,,,,,,
p1,Premium Wireless Headphones,High-quality wireless headphones with noise cancellation,299.99,399.99,Electronics,50,ACTIVE,4.5,variant,/images/GRRlR_1y.jpeg,Red variant main,true,Red,COLOR,Red,Classic red color,25,299.99
p1,Premium Wireless Headphones,High-quality wireless headphones with noise cancellation,299.99,399.99,Electronics,50,ACTIVE,4.5,variant,/images/Robin Hoodie und Jogginghose im Set_ Perfekt für….jpeg,Red variant alt,false,Red,COLOR,Red,Classic red color,25,299.99
p1,Premium Wireless Headphones,High-quality wireless headphones with noise cancellation,299.99,399.99,Electronics,50,ACTIVE,4.5,variant,/images/Black Cat Dock for iPhone _ www_modcloth.jpeg,Blue variant main,true,Blue,COLOR,Blue,Modern blue color,25,299.99
p2,Smart Fitness Watch,Advanced fitness tracking with heart rate monitor,199.99,249.99,Electronics,75,ACTIVE,4.3,product,/images/Apple ipad and apple pencil deal !! #socialmedia….jpeg,Main product image,true,,,,,,
p2,Smart Fitness Watch,Advanced fitness tracking with heart rate monitor,199.99,249.99,Electronics,75,ACTIVE,4.3,product,/images/Light Phone 3 is a Streamlined Minimalist Device….jpeg,Side view,false,,,,,,
p2,Smart Fitness Watch,Advanced fitness tracking with heart rate monitor,199.99,249.99,Electronics,75,ACTIVE,4.3,variant,/images/PRICES MAY VARY_ ✔️ Every essential short cut –….jpeg,Small size main,true,Small,SIZE,Small,Small size for petite wrists,25,199.99
p2,Smart Fitness Watch,Advanced fitness tracking with heart rate monitor,199.99,249.99,Electronics,75,ACTIVE,4.3,variant,/images/Glowing Memo Alarm Clock.jpeg,Small size alt,false,Small,SIZE,Small,Small size for petite wrists,25,199.99
p2,Smart Fitness Watch,Advanced fitness tracking with heart rate monitor,199.99,249.99,Electronics,75,ACTIVE,4.3,variant,/images/Com três câmeras principais para capturar imagens….jpeg,Large size main,true,Large,SIZE,Large,Large size for larger wrists,25,199.99
p3,Organic Cotton T-Shirt,Comfortable and sustainable organic cotton t-shirts available in multiple colors and sizes,29.99,39.99,Apparel,200,ACTIVE,4.2,product,/images/Odkryj nasze letnie wyprzedaże z 50_ rabatem….jpeg,Main product image,true,,,,,,
p4,Wireless Bluetooth Speaker,Portable wireless speaker with 20-hour battery life and crystal clear sound quality,89.99,119.99,Electronics,120,ACTIVE,4.4,product,/images/Fones De Ouvido bluetooth Colorido i12 Tws Sem Fio….jpeg,Main product image,true,,,,,,
p5,Stainless Steel Water Bottle,Double-wall insulated bottle keeps drinks cold for 24 hours or hot for 12,34.99,44.99,Home & Garden,180,ACTIVE,4.6,product,/images/Bateria portátil power bank 30000mah com 4 usb….jpeg,Main product image,true,,,,,,
p6,Yoga Mat,Premium non-slip yoga mat with carrying strap,39.99,49.99,Sports,150,ACTIVE,4.5,product,/images/Designed by Whynot for Nekteck, USA_ Product….jpeg,Main product image,true,,,,,,
p7,LED Desk Lamp,Adjustable LED desk lamp with USB charging port,59.99,69.99,Home & Office,90,ACTIVE,4.3,product,/images/Glowing Memo Alarm Clock.jpeg,Main product image,true,,,,,,
p8,Wireless Charging Pad,10W fast wireless charging pad with LED indicator,34.99,39.99,Electronics,110,ACTIVE,4.2,product,/images/PRICES MAY VARY_ 【Creative Inspiration】This….jpeg,Main product image,true,,,,,,
p9,Portable Power Bank,10000mAh portable power bank with fast charging,49.99,59.99,Electronics,130,ACTIVE,4.4,product,/images/Mega Business Bundle _ Business Plan Template….jpeg,Main product image,true,,,,,,
